Country;GDP PPP per Capita 2020;Population 2020;Refugees 2020
Albania;13439.6652780757;2866849;105
Austria;55683.8408238588;8907777;141816
Belarus;20239.2018200072;9633740;2900
Belgium;53034.961003118;11561717;64973
Bosnia and Herzegovina;15623.0974695199;3318407;5232
Bulgaria;24613.8350724496;6979175;21113
Croatia;28841.7140738027;4096868;956
Cyprus;39452.8673523841;1237537;13997
Denmark;60229.9147703017;5825641;36643
Estonia;37600.5920478364;1329444;277
Finland;50506.2858973317;5529468;23428
France;46983.0419157962;64480053;436055
Germany;54792.0644751381;83328988;1210596
Greece;27909.5444893558;10512232;103101
Hungary;33077.2339166746;9750573;5838
Iceland;53622.2450114628;366669;1460
Ireland;93180.9453964352;4946119;9035
Italy;41828.5540397184;59500579;128033
Latvia;31464.484293229;1897052;637
Lithuania;38883.1190343211;2820267;1880
Luxembourg;117500.207221609;630399;5158
Malta;41740.7703938873;515357;9168
Montenegro;20029.9111067353;629048;166
North Macedonia;16959.671228418;2111072;303
Norway;62644.8457362642;5379839;49653
Poland;34240.2473551909;38428366;2771
Portugal;34148.9529253925;10298192;2405
Romania;32116.4809530635;19442038;3581
Slovenia;39768.6327915153;2117641;823
Spain;37765.8013368995;47363807;103624
Sweden;55037.7239019554;10368969;248372
Switzerland;71742.5166044165;8638613;115798
Ukraine;13054.7609939201;43909666;2249