ID,VAR00,VAR00.1,VAR01,VAR02,VAR02_1,VAR03,VAR04,VAR05,VAR06,VAR07,VAR08,VAR09_1,VAR09_2,VAR09_3,VAR09_4,VAR09_5,VAR09_6,VAR09_7,VAR09_8,VAR09_9,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35
2,GAM-M-BER-06/07,DE_1,Germany,4,Gambia,0,19,0,5,2,8,2,2,2,2,2,2,2,2,1,2,999,1,rejected,999,1,1,999,1,1,1,999
4,IRA-M-GOE 1110,DE_2,Germany,4,Iran,1,33,0,2,3,3,2,2,2,2,2,2,2,2,1,999,999,1,not rejected,1,0,0,999,1,1,0,0
7,SYR- M- MUN- 03.12,DE_3,Germany,1,,0,25,0,5,2,2,2,2,2,2,2,2,2,2,1,4,999,1,not rejected,999,99,99,999,999,1,0,1
9,02 - ITA04032019MICRO,ITA_2,Italy,4,Gambia,0,22,999,5,999,7,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,1,999,999
10,03 - ITA04032019MICRO,ITA_3,Italy,4,Gambia,0,24,999,5,3,7,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,1,999,999,1,0,999
12,05 - ITA04032019MICRO,ITA_5,Italy,4,Cameroon,0,31,999,5,999,999,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,1,1,999
25,18 - ITA04032019MICRO,ITA_18,Italy,4,Pakistan,0,24,999,5,3,8,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,0,1,999
27,20 - ITA05032019MICRO,ITA_20,Italy,4,Nigeria,1,27,1,5,999,3,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,999,999,999
28,21 - ITA05032019MICRO,ITA_21,Italy,4,Nigeria,1,24,999,5,999,1,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,999,999,999
29,22 - ITA05032019MICRO,ITA_22,Italy,4,Nigeria,1,25,1,3,3,8,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,7,99,99,999,999,0,999,999
32,25 - ITA06042019MICRO,ITA_25,Italy,1,,0,26,999,1,999,1,2,2,2,2,2,2,2,2,1,3,999,1,not rejected,999,99,99,999,999,999,999,1
33,26 - ITA06042019MICRO,ITA_26,Italy,4,Mali,0,29,999,5,999,1,2,2,2,2,2,2,2,2,1,6,999,1,not rejected,999,99,99,999,999,1,999,999
34,27 - ITA06042019MICRO,ITA_27,Italy,4,Nigeria,0,32,1,5,3,2,2,2,2,2,2,2,2,2,1,6,999,1,not rejected,999,99,99,999,999,999,999,1
38,SYR- M- MUN- 15.12,DE_4,Germany,1,,0,22,0,5,2,8,2,2,2,2,2,2,2,2,1,4,999,1,not rejected,999,0,99,999,999,999,0,999
39,SYR-F-MUN-03.09,DE_5,Germany,1,,1,49,2,1,3,8,2,2,2,2,2,1,2,2,2,2,999,1,rejected,999,1,0,999,999,999,1,1
40,SYR-F-MUN-09.11,DE_6,Germany,1,,1,34,2,1,3,8,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,999,0,99,999,1,1,1,1
41,PLMISy22,PLM_22,Poland,1,,0,26,999,5,3,8,2,2,2,2,2,2,2,2,1,2,0,1,not rejected,24,0,99,999,1,999,1,999
43,TUR_67,TR_67,Turkey,1,,1,30,3,1,1,8,2,2,2,2,2,2,2,2,1,4,0,0,not rejected,999,0,0,999,999,999,1,999
85,SYR-F-MUN-23.08,DE_7,Germany,1,,1,38,4,1,2,2,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,1,99,99,999,999,999,1,1
88,SYR- M- MUN- 28.11,DE_8,Germany,1,,0,20,0,5,2,2,2,2,2,2,2,2,2,2,1,2,999,1,rejected,18,1,0,999,999,1,0,1
90,PLMICh03,PLM_03,Poland,4,Russia (Chechnya),1,35,1,5,2,7,2,2,2,1,2,2,2,2,2,1,0,1,not rejected,999,99,99,999,1,1,0,0
91,PLMICh05,PLM_05,Poland,4,Russia (Chechnya),1,30,2,1,2,1,2,2,2,2,2,2,2,2,1,1,0,1,rejected,999,1,2,999,999,1,0,1
92,PLMICh06,PLM_06,Poland,4,Russia (Chechnya),1,43,3,1,1,3,2,2,2,2,2,2,2,2,1,1,0,1,rejected,999,1,1,999,999,1,1,1
93,AFGH-M-GOE 1110,DE_9,Germany,2,,0,22,0,5,999,8,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,99,99,999,1,1,1,1
94,PLMICh08,PLM_08,Poland,4,Russia (Chechnya),1,45,1,2,999,1,2,2,2,1,2,2,2,2,2,6,0,1,not rejected,18,0,99,999,999,999,0,999
96,PLMICh12,PLM_12,Poland,4,Russia (Chechnya),0,26,0,5,3,5,2,2,2,2,2,2,2,2,1,6,0,1,rejected,999,1,1,999,999,1,0,0
99,TUR_2,TR_2,Turkey,1,,0,23,999,5,2,1,2,2,2,2,2,2,2,2,1,4,1,0,not rejected,999,0,99,999,0,0,1,1
100,PLMICh13,PLM_13,Poland,4,Russia (Chechnya),0,43,5,1,3,5,2,2,2,2,2,2,1,2,2,1,999,1,rejected,999,0,2,999,999,999,1,1
120,PLMIUk17,PLM_17,Poland,4,Ukraine,0,26,0,5,999,2,2,2,2,2,2,2,2,2,1,1,0,1,rejected,999,1,1,999,999,1,0,1
128,PLMISy25,PLM_25,Poland,1,,1,22,0,5,3,5,2,2,2,2,2,2,2,2,1,3,0,1,not rejected,6,99,99,999,999,999,1,999
135,PLMICh09,PLM_09,Poland,4,Russia (Chechnya),0,52,0,5,1,1,2,2,2,2,2,2,1,2,2,3,0,1,not rejected,21,0,0,999,999,999,0,999
140,CAM-M-GRO-23/07,DE_10,Germany,4,Cameroon,0,39,2,5,2,2,2,2,2,2,2,2,1,2,2,1,999,1,rejected,999,1,2,999,999,999,999,1
202,PLMIUk18,PLM_18,Poland,4,Ukraine,0,30,999,5,2,5,2,2,2,2,2,2,2,2,1,1,0,1,rejected,18,1,1,over 54,0,0,0,1
206,SWE_30,SWE_30,Sweden,1,,1,42,3,1,3,4,2,2,2,2,2,2,2,2,1,2,0,1,not rejected,11,99,99,999,1,1,1,1
208,SWE_47,SWE_47,Sweden,2,,0,19,999,3,0,999,2,2,2,2,2,2,2,2,1,6,999,0,rejected,999,1,1,999,999,999,0,999
210,SWE_59,SWE_59,Sweden,2,,0,18,999,5,999,2,2,2,2,2,2,2,2,1,2,6,999,0,rejected,999,1,1,999,999,1,1,999
217,SWE_51,SWE_51,Sweden,2,,0,26,3,1,0,7,2,2,2,2,2,2,2,2,1,1,0,0,rejected,8,1,1,2,0,1,1,1
218,SWE_54,SWE_54,Sweden,2,,1,30,999,1,0,8,2,2,2,2,2,2,2,1,2,1,0,0,rejected,999,1,1,999,999,1,0,0
219,SWE_27,SWE_27,Sweden,1,,0,37,2,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,4,0,99,999,999,999,1,0
220,SWE_56,SWE_56,Sweden,2,,1,40,4,1,999,2,2,2,1,2,2,2,2,2,2,1,0,0,rejected,12,1,1,999,1,1,0,999
222,IRA-W-BER-0512,DE_11,Germany,4,Iran,1,32,999,5,3,5,2,2,2,2,1,2,2,2,2,4,0,1,rejected,999,99,1,999,1,1,1,1
225,SWE_10,SWE_10,Sweden,1,,1,48,2,1,3,4,2,2,2,1,2,2,2,2,2,4,0,1,not rejected,15,0,0,999,999,1,0,999
227,SWE_52,SWE_52,Sweden,2,,1,38,4,1,1,8,2,2,2,2,2,2,2,2,1,1,0,0,rejected,999,1,1,999,1,1,0,999
231,SWE_6,SWE_6,Sweden,1,,0,32,999,5,3,5,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,999,99,99,999,1,999,1,1
235,SWE_19,SWE_19,Sweden,1,,0,54,2,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,999,99,99,999,1,1,1,1
238,SWE_16,SWE_16,Sweden,1,,0,43,4,1,2,5,2,2,2,2,2,2,2,2,1,4,0,1,not rejected,999,99,99,999,999,1,0,999
243,SWE_31,SWE_31,Sweden,1,,1,22,999,5,3,8,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,7,99,0,999,1,1,1,999
244,SWE_33,SWE_33,Sweden,1,,1,39,3,2,3,8,2,2,2,2,2,1,2,2,2,2,999,1,not rejected,30,99,99,999,1,1,1,0
247,SWE_24,SWE_24,Sweden,1,,1,28,9,2,3,3,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,1,99,99,999,999,1,1,999
249,SWE_28,SWE_28,Sweden,1,,1,66,2,4,3,7,2,2,2,2,2,2,2,2,1,3,999,1,not rejected,6,1,0,999,1,999,1,999
250,SWE_35,SWE_35,Sweden,1,,1,48,3,1,3,999,2,2,2,2,2,1,2,2,2,2,999,1,not rejected,6,99,99,999,1,1,1,1
252,SWE_15,SWE_15,Sweden,1,,0,50,4,1,3,6,2,2,2,2,2,2,2,2,1,2,1,1,not rejected,7,99,99,999,0,0,0,1
254,SWE_37,SWE_37,Sweden,1,,1,42,2,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,999,0,0,999,999,999,1,999
255,SWE_38,SWE_38,Sweden,1,,0,36,999,5,3,5,2,2,2,2,2,2,2,2,1,4,999,1,not rejected,3,0,0,999,999,999,1,1
257,SWE_46,SWE_46,Sweden,3,,1,32,3,2,3,7,2,2,2,1,2,1,2,2,2,2,999,1,not rejected,18,99,99,999,1,1,1,1
258,SWE_45,SWE_45,Sweden,3,,0,64,5,2,999,999,2,2,2,2,2,2,2,2,1,1,999,0,rejected,3,1,1,7,999,1,0,999
259,SWE_48,SWE_48,Sweden,2,,0,18,999,5,999,8,2,2,2,2,2,2,2,2,1,1,999,0,rejected,999,1,2,999,999,999,1,1
260,SWE_40,SWE_40,Sweden,1,,0,31,0,1,3,6,2,2,2,2,2,2,2,2,1,3,999,1,not rejected,12,0,99,999,1,0,1,999
262,SWE_43,SWE_43,Sweden,1,,0,30,999,5,3,4,2,2,2,2,2,2,2,2,1,4,0,1,not rejected,1,99,99,999,0,0,1,999
264,SWE_20,SWE_20,Sweden,1,,0,41,2,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,999,99,99,999,1,0,1,999
268,SWE_50,SWE_50,Sweden,2,,0,32,5,1,0,1,2,2,2,2,2,2,1,1,2,1,0,0,rejected,5,1,2,999,1,1,0,1
273,CAM-W-GRO -24/11/18,DE_13,Germany,4,Cameroon,1,35,3,5,0,7,2,2,2,1,2,2,2,2,2,1,1,1,not rejected,999,0,0,999,999,999,0,999
274,CAM-W-GRO-10/07,DE_14,Germany,4,Cameroon,1,28,2,999,999,1,2,2,2,1,2,2,2,1,2,999,999,1,rejected,4,1,99,999,999,999,999,999
303,HUN_6,HUN_6,Hungary,2,,0,28,999,5,999,999,2,2,2,2,2,2,2,1,2,2,0,1,not rejected,999,99,99,999,1,1,1,1
304,HUN_7,HUN_7,Hungary,2,,999,48,999,5,2,999,2,2,2,2,2,2,2,2,1,4,999,1,not rejected,8,99,99,999,999,999,1,999
305,HUN_8,HUN_8,Hungary,2,,0,27,999,999,2,999,2,2,2,2,2,2,2,1,2,2,0,1,not rejected,999,99,99,999,1,999,1,999
307,HUN_10,HUN_10,Hungary,2,,0,33,999,999,3,2,2,2,2,2,2,2,2,1,2,2,999,1,not rejected,999,99,99,999,999,999,1,1
309,"SYR- F- GOE- 07.12 (SYR- F- GOE- 07.12, Pos. 6)",DE_16,Germany,1,,1,35,0,1,3,5,2,2,2,2,2,2,2,2,1,1,999,1,not rejected,999,99,99,999,1,999,999,999
310,"SYR- F- GOE- 08.12 (SYR- F- GOE- 08.12, Pos. 6)",DE_17,Germany,1,,1,22,0,5,3,8,2,2,2,2,2,2,2,2,1,1,999,1,not rejected,999,99,0,999,1,999,999,1
314,SYR- M- Goe- 26.10,DE_19,Germany,1,,0,23,0,5,3,1,2,2,2,2,2,2,2,2,1,1,999,1,not rejected,999,0,0,999,1,999,1,1
318,SYR- M- GOE- 04.12,DE_21,Germany,1,,0,23,0,5,3,8,2,2,2,2,2,2,2,2,1,1,999,1,not rejected,999,0,0,999,0,999,999,999
328,LIB-M-BER 27/04/19,DE_26,Germany,4,Libya,0,35,1,1,3,5,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,99,99,999,1,999,1,1
337,AT_4,AT_4,Austria,2,,0,26,0,5,0,8,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,1,1,0,999
338,AT_5,AT_5,Austria,4,Iran,0,999,0,5,2,8,2,2,2,2,2,2,2,2,1,1,999,1,rejected,15,1,2,999,1,999,0,999
339,AT_6,AT_6,Austria,2,,0,19,0,5,2,999,2,2,2,2,2,2,2,2,1,1,999,1,rejected,30,1,2,999,1,1,0,999
342,AT_9,AT_9,Austria,1,,0,33,2,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,4,99,99,999,999,0,1,999
347,AT_14,AT_14,Austria,2,,1,52,2,999,3,4,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,18,99,99,999,1,999,1,999
349,AT_16,AT_16,Austria,2,,1,34,3,1,999,2,2,2,2,2,2,2,2,2,1,3,1,1,not rejected,999,99,99,999,1,1,999,999
350,AT_17,AT_17,Austria,4,Nigeria,0,21,0,5,2,999,2,2,2,2,2,1,1,2,2,1,999,1,rejected,12,1,2,999,999,1,0,0
354,AT_21,AT_21,Austria,4,Georgia,1,40,2,1,2,4,2,2,2,2,2,2,2,2,1,3,999,1,rejected,12,1,0,12,1,1,1,999
357,AT_24,AT_24,Austria,2,,1,34,3,1,1,8,2,2,2,2,2,2,2,2,1,3,999,1,rejected,999,1,0,999,1,1,1,1
358,AT_25,AT_25,Austria,2,,0,26,0,5,2,2,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,999,1,999
360,AT_27,AT_27,Austria,2,,1,64,8,1,1,999,2,1,2,2,2,2,2,2,2,1,999,1,rejected,3,1,2,999,1,999,0,0
362,AT_29,AT_29,Austria,1,,0,27,1,1,3,999,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,1,99,99,999,1,999,0,0
363,UK_6,UK_6,United Kingdom,4,Iran,1,999,2,1,2,3,2,2,2,2,2,2,2,2,1,2,999,1,rejected,999,1,0,999,1,1,1,1
364,UK_7,UK_7,United Kingdom,4,Iran,0,999,2,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,3,99,99,999,1,1,999,999
365,UK_8,UK_8,United Kingdom,4,Iran,0,47,2,1,1,1,2,2,2,2,2,2,2,2,1,2,999,1,rejected,18,1,99,999,1,1,0,999
369,UK_12,UK_12,United Kingdom,1,,0,999,4,1,3,5,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,3,99,99,999,999,999,1,999
370,UK_12,UK_16,United Kingdom,4,Pakistan/Afghanistan,0,32,999,999,999,999,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,999,0,999
374,UK_2,UK_2,United Kingdom,1,,0,26,999,5,3,999,2,2,2,2,1,1,2,2,2,3,0,1,not rejected,2,99,99,999,1,0,1,999
376,UK_4,UK_4,United Kingdom,1,,0,29,999,1,3,999,2,2,2,2,2,2,2,2,1,3,0,1,not rejected,3,99,99,999,999,999,1,999
377,UK_5,UK_5,United Kingdom,4,,0,44,5,1,3,5,2,2,2,2,2,1,2,2,2,1,0,1,rejected,8,1,1,6,999,1,0,0
378,DE_V_1,DE_V_1,Germany,3,,1,19,999,5,3,999,2,2,2,2,2,2,2,2,1,3,0,1,not rejected,13,99,99,999,1,999,1,1
381,DE_V_4,DE_V_4,Germany,1,,1,38,3,1,2,8,2,2,2,2,2,2,2,2,1,3,0,1,not rejected,24,99,99,999,1,0,1,1
382,DE_V_5,DE_V_5,Germany,3,,0,19,999,5,3,999,2,2,2,2,2,2,2,2,1,3,0,1,not rejected,5,99,99,999,1,0,1,1
383,DE_V_6,DE_V_6,Germany,3,,0,25,999,5,3,5,2,2,2,2,2,2,2,2,1,3,0,1,not rejected,12,99,99,999,1,0,1,1
387,DE_V_10,DE_V_10,Germany,3,,0,50,9,1,2,5,2,1,2,2,2,1,2,2,2,3,0,1,not rejected,7,99,99,999,1,0,1,1
393,SWE_V_16,SWE_V_16,Sweden,1,,0,42,3,1,3,5,2,2,2,2,2,2,1,2,2,2,0,1,not rejected,6,99,99,999,1,1,1,1
394,SWE_V_17,SWE_V_17,Sweden,1,,0,63,5,1,3,5,2,2,2,2,2,2,1,2,2,2,0,1,not rejected,15,99,99,999,1,1,1,1
397,SWE_V_20,SWE_V_20,Sweden,1,,0,34,2,1,2,7,2,2,2,2,2,2,2,2,1,4,0,1,not rejected,2,0,99,999,1,0,1,1
398,SWE_V_21,SWE_V_21,Sweden,1,,1,50,2,1,3,5,2,2,2,2,2,2,2,2,1,3,0,1,not rejected,9,99,99,999,1,0,1,1
401,SWE_V_24,SWE_V_24,Sweden,1,,1,26,999,5,3,8,2,2,2,2,2,2,2,2,1,3,0,1,not rejected,8,99,99,999,1,1,1,1
403,HUN_11,HUN_11,Hungary,2,,0,33,999,999,999,2,2,2,2,2,2,2,2,2,1,2,999,1,not rejected,999,99,99,999,999,999,999,1
413,IRA-M-BER-2410,DE_27,Germany,4,Iran,0,21,0,5,3,8,2,2,2,2,2,2,2,1,2,4,999,1,rejected,4,1,2,999,1,0,0,0
506,GRE_9,GRE_9,Greece,4,Burundi,0,37,3,1,3,5,2,2,2,2,2,2,1,2,2,3,999,1,not rejected,999,0,0,999,1,1,0,1
507,GRE_10,GRE_10,Greece,2,,1,24,0,5,3,5,2,2,2,2,2,2,2,1,2,3,999,1,not rejected,365,0,0,999,1,1,0,1
508,GRE_11,GRE_11,Greece,4,Iran,0,21,0,5,999,7,2,2,2,2,2,2,2,2,1,1,1,1,not rejected,999,99,99,999,1,1,1,1
511,GRE_15,GRE_15,Greece,2,,0,28,0,6,2,8,2,2,2,2,2,2,2,2,1,1,0,1,rejected,48,1,2,60,1,1,1,1
517,GRE_22,GRE_22,Greece,2,,0,18,0,5,2,8,2,2,2,2,2,2,2,1,2,1,999,1,not rejected,12,99,99,999,1,1,0,0
518,GRE_23,GRE_23,Greece,4,Congo,0,999,999,999,3,4,2,2,2,2,2,1,2,1,2,1,999,1,rejected,13,1,2,999,1,1,0,0
523,GRE_29,GRE_29,Greece,1,,0,20,0,999,1,2,2,2,2,2,2,2,2,1,2,2,999,1,not rejected,1,0,0,999,1,1,0,0
530,GRE_35_b,GRE_48,Greece,1,,1,23,2,1,999,999,2,2,1,2,2,2,2,1,2,1,999,1,not rejected,999,0,0,999,1,0,1,1
1,ERI-M-GRO-06/07,DE_28,Germany,4,Eritrea,0,28,0,6,3,999,2,2,2,2,1,2,1,1,2,6,999,1,rejected,12,1,1,7,999,1,0,1
3,IRA-M-Goe-0908,DE_29,Germany,4,Iran,0,27,0,2,999,8,2,2,2,2,2,2,2,2,1,6,999,1,rejected,14,99,99,999,999,1,0,999
5,NIG-W-GRO-11/07,DE_30,Germany,4,Nigeria/Cameroon,1,37,1,6,2,2,2,2,2,2,2,2,2,2,1,1,999,1,rejected,2,1,1,6,999,999,999,999
6,SEN-M-GRO-08/07,DE_31,Germany,4,Senegal,0,32,0,6,999,1,2,2,2,2,2,2,2,2,1,999,999,1,rejected,999,99,2,999,999,1,999,999
13,06 - ITA04032019MICRO,ITA_6,Italy,4,Nigeria,0,26,999,5,999,7,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,99,2,999,999,0,1,999
16,09 - ITA04032019MICRO,ITA_9,Italy,4,Ghana,0,24,999,5,999,999,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,1,1,999,999
19,12 - ITA04032019MICRO,ITA_12,Italy,4,Ghana,0,28,999,5,3,8,2,2,2,2,2,2,2,2,1,1,999,1,rejected,999,1,2,999,999,999,1,999
